"","From","To","Type"
"645","LKL","ENNA","Airport"
"646","NTB","ENNO","Airport"
"647","OLA","ENOL","Airport"
"648","RRS","ENRO","Airport"
"649","RYG","ENRY","Airport"
"650","LYR","ENSB","Airport"
"651","SKE","ENSN","Airport"
"652","SRP","ENSO","Airport"
"653","SSJ","ENST","Airport"
"654","TOS","ENTC","Airport"
"655","TRF","ENTO","Airport"
"656","TRD","ENVA","Airport"
"657","SVG","ENZV","Airport"
"659","GDN","EPGD","Airport"
"660","KRK","EPKK","Airport"
"662","KTW","EPKT","Airport"
"664","POZ","EPPO","Airport"
"665","RZE","EPRZ","Airport"
"666","SZZ","EPSC","Airport"
"669","WAW","EPWA","Airport"
"670","WRO","EPWR","Airport"
"671","IEG","EPZG","Airport"
"675","RNB","ESDF","Airport"
"677","GOT","ESGG","Airport"
"678","JKG","ESGJ","Airport"
"680","LDK","ESGL","Airport"
"681","GSE","ESGP","Airport"
"682","KVB","ESGR","Airport"
"683","THN","ESGT","Airport"
"687","KSK","ESKK","Airport"
"688","MXX","ESKM","Airport"
"689","NYO","ESKN","Airport"
"693","KID","ESMK","Airport"
"695","OSK","ESMO","Airport"
"697","KLR","ESMQ","Airport"
"698","MMX","ESMS","Airport"
"699","HAD","ESMT","Airport"
"701","VXO","ESMX","Airport"
"704","EVG","ESND","Airport"
"705","GEV","ESNG","Airport"
"706","HUV","ESNH","Airport"
"708","KRF","ESNK","Airport"
"709","LYC","ESNL","Airport"
"711","SDL","ESNN","Airport"
"712","OER","ESNO","Airport"
"714","KRN","ESNQ","Airport"
"716","SFT","ESNS","Airport"
"718","UME","ESNU","Airport"
"719","VHM","ESNV","Airport"
"720","AJR","ESNX","Airport"
"721","ORB","ESOE","Airport"
"722","VST","ESOW","Airport"
"723","LLA","ESPA","Airport"
"726","ARN","ESSA","Airport"
"727","BMA","ESSB","Airport"
"728","BLE","ESSD","Airport"
"729","HLF","ESSF","Airport"
"730","GVX","ESSK","Airport"
"731","LPI","ESSL","Airport"
"732","NRK","ESSP","Airport"
"733","EKT","ESSU","Airport"
"734","VBY","ESSV","Airport"
