"","From","To","Type"
"2154","CIS","PCIS","Airport"
"2155","ROP","PGRO","Airport"
"2156","SPN","PGSN","Airport"
"2158","GUM","PGUM","Airport"
"2159","TIQ","PGWT","Airport"
"2160","MAJ","PKMJ","Airport"
"2163","CXI","PLCH","Airport"
"2165","TKK","PTKK","Airport"
"2166","PNI","PTPN","Airport"
"2167","ROR","PTRO","Airport"
"2168","KSA","PTSA","Airport"
"2169","YAP","PTYA","Airport"
"2170","KNH","RCBS","Airport"
"2173","TTT","RCFN","Airport"
"2174","GNI","RCGI","Airport"
"2175","KHH","RCKH","Airport"
"2176","CYI","RCKU","Airport"
"2177","KYD","RCLY","Airport"
"2178","RMQ","RCMQ","Airport"
"2179","TNN","RCNN","Airport"
"2181","MZG","RCQC","Airport"
"2183","PIF","RCSQ","Airport"
"2184","TSA","RCSS","Airport"
"2185","TPE","RCTP","Airport"
"2186","WOT","RCWA","Airport"
"2187","HUN","RCYU","Airport"
"2188","NRT","RJAA","Airport"
"2189","MMJ","RJAF","Airport"
"2190","IBR","RJAH","Airport"
"2191","MUS","RJAM","Airport"
"2192","IWO","RJAW","Airport"
"2193","SHM","RJBD","Airport"
"2195","OBO","RJCB","Airport"
"2196","CTS","RJCC","Airport"
"2197","HKD","RJCH","Airport"
"2199","MMB","RJCM","Airport"
"2200","SHB","RJCN","Airport"
"2202","WKJ","RJCW","Airport"
"2203","IKI","RJDB","Airport"
"2204","UBJ","RJDC","Airport"
"2205","TSJ","RJDT","Airport"
"2206","MBE","RJEB","Airport"
"2207","AKJ","RJEC","Airport"
"2208","OIR","RJEO","Airport"
"2209","RIS","RJER","Airport"
"2211","KUM","RJFC","Airport"
"2212","FUJ","RJFE","Airport"
"2213","FUK","RJFF","Airport"
"2214","TNE","RJFG","Airport"
"2215","KOJ","RJFK","Airport"
"2216","KMI","RJFM","Airport"
"2218","OIT","RJFO","Airport"
"2219","KKJ","RJFR","Airport"
"2220","KMJ","RJFT","Airport"
"2221","NGS","RJFU","Airport"
"2224","ASJ","RJKA","Airport"
"2225","OKE","RJKB","Airport"
"2226","TKN","RJKN","Airport"
"2227","FKJ","RJNF","Airport"
"2228","QGU","RJNG","Airport"
"2230","KMQ","RJNK","Airport"
"2231","OKI","RJNO","Airport"
"2232","TOY","RJNT","Airport"
"2234","HIJ","RJOA","Airport"
"2235","OKJ","RJOB","Airport"
"2236","IZO","RJOC","Airport"
"2238","YGJ","RJOH","Airport"
"2240","KCZ","RJOK","Airport"
"2241","MYJ","RJOM","Airport"
"2242","ITM","RJOO","Airport"
"2243","TTJ","RJOR","Airport"
"2244","TKS","RJOS","Airport"
"2245","TAK","RJOT","Airport"
"2248","AOJ","RJSA","Airport"
"2249","GAJ","RJSC","Airport"
"2250","SDS","RJSD","Airport"
"2251","HHE","RJSH","Airport"
"2252","HNA","RJSI","Airport"
"2253","AXT","RJSK","Airport"
"2255","SDJ","RJSS","Airport"
"2259","HAC","RJTH","Airport"
"2263","OIM","RJTO","Airport"
"2265","HND","RJTT","Airport"
"2267","KWJ","RKJJ","Airport"
"2268","CHN","RKJU","Airport"
"2269","RSU","RKJY","Airport"
"2271","KAG","RKNN","Airport"
"2272","CJU","RKPC","Airport"
"2273","CHF","RKPE","Airport"
"2274","PUS","RKPK","Airport"
"2275","USN","RKPU","Airport"
"2279","GMP","RKSS","Airport"
"2280","SWU","RKSW","Airport"
"2281","KPO","RKTH","Airport"
"2282","TAE","RKTN","Airport"
"2284","OKA","ROAH","Airport"
"2287","ISG","ROIG","Airport"
"2288","UEO","ROKJ","Airport"
"2289","MMD","ROMD","Airport"
"2290","MMY","ROMY","Airport"
"2291","KTD","RORK","Airport"
"2292","SHI","RORS","Airport"
"2293","TRA","RORT","Airport"
"2294","RNJ","RORY","Airport"
"2296","OGN","ROYN","Airport"
"2297","MNL","RPLL","Airport"
"2298","CBO","RPMC","Airport"
"2300","PAG","RPMP","Airport"
"2301","GES","RPMR","Airport"
"2302","ZAM","RPMZ","Airport"
"2303","BAG","RPUB","Airport"
"2304","DTE","RPUD","Airport"
"2307","SJI","RPUH","Airport"
"2309","MBO","RPUM","Airport"
"2311","BQA","RPUR","Airport"
"2313","TAC","RPVA","Airport"
"2314","BCD","RPVB","Airport"
"2315","DGT","RPVD","Airport"
"2316","MPH","RPVE","Airport"
"2318","ILO","RPVI","Airport"
"2319","KLO","RPVK","Airport"
"2320","PPS","RPVP","Airport"
"2321","EUQ","RPVS","Airport"
"2322","COC","SAAC","Airport"
"2323","GHU","SAAG","Airport"
"2324","JNI","SAAJ","Airport"
"2325","PRA","SAAP","Airport"
"2326","ROS","SAAR","Airport"
"2327","SFN","SAAV","Airport"
"2329","COR","SACO","Airport"
"2331","FDO","SADF","Airport"
"2333","LPG","SADL","Airport"
"2335","EPA","SADP","Airport"
"2336","HOS","SAHC","Airport"
"2337","GNR","SAHR","Airport"
"2338","MDZ","SAME","Airport"
"2339","LGS","SAMM","Airport"
"2340","AFA","SAMR","Airport"
"2341","CTC","SANC","Airport"
"2342","SDE","SANE","Airport"
"2344","IRJ","SANL","Airport"
"2346","TUC","SANT","Airport"
"2347","UAQ","SANU","Airport"
"2348","RCU","SAOC","Airport"
"2349","VDR","SAOD","Airport"
"2352","VME","SAOR","Airport"
"2353","LUQ","SAOU","Airport"
"2354","CNQ","SARC","Airport"
"2355","RES","SARE","Airport"
"2356","FMA","SARF","Airport"
"2357","IGR","SARI","Airport"
"2358","AOL","SARL","Airport"
"2359","MCS","SARM","Airport"
"2360","PSS","SARP","Airport"
"2361","PRQ","SARS","Airport"
"2362","SLA","SASA","Airport"
"2363","JUJ","SASJ","Airport"
"2364","ORA","SASO","Airport"
"2366","ELO","SATD","Airport"
"2367","OYA","SATG","Airport"
"2369","RCQ","SATR","Airport"
"2370","UZU","SATU","Airport"
"2371","EHL","SAVB","Airport"
"2372","CRD","SAVC","Airport"
"2373","EQS","SAVE","Airport"
"2374","REL","SAVT","Airport"
"2375","VDM","SAVV","Airport"
"2376","PMY","SAVY","Airport"
"2378","PUD","SAWD","Airport"
"2379","RGA","SAWE","Airport"
"2380","RGL","SAWG","Airport"
"2381","USH","SAWH","Airport"
"2382","ULA","SAWJ","Airport"
"2383","PMQ","SAWP","Airport"
"2384","RZA","SAWU","Airport"
"2385","BHI","SAZB","Airport"
"2386","CSZ","SAZC","Airport"
"2387","OVR","SAZF","Airport"
"2388","GPO","SAZG","Airport"
"2389","OYO","SAZH","Airport"
"2391","MDQ","SAZM","Airport"
"2392","NQN","SAZN","Airport"
"2393","PEH","SAZP","Airport"
"2394","RSA","SAZR","Airport"
"2395","BRC","SAZS","Airport"
"2396","TDL","SAZT","Airport"
"2397","VLG","SAZV","Airport"
"2398","CUT","SAZW","Airport"
"2399","CPC","SAZY","Airport"
"2400","CDJ","SBAA","Airport"
"2403","AQA","SBAQ","Airport"
"2404","AJU","SBAR","Airport"
"2406","AFL","SBAT","Airport"
"2407","ARU","SBAU","Airport"
"2408","BEL","SBBE","Airport"
"2409","BGX","SBBG","Airport"
"2410","PLU","SBBH","Airport"
"2411","BFH","SBBI","Airport"
"2413","BSB","SBBR","Airport"
"2414","BAU","SBBU","Airport"
"2415","BVB","SBBV","Airport"
"2416","BPG","SBBW","Airport"
"2417","CAC","SBCA","Airport"
"2419","CNF","SBCF","Airport"
"2420","CGR","SBCG","Airport"
"2421","XAP","SBCH","Airport"
"2422","CLN","SBCI","Airport"
"2423","CCM","SBCM","Airport"
"2425","CAW","SBCP","Airport"
"2426","CMG","SBCR","Airport"
"2427","CWB","SBCT","Airport"
"2428","CRQ","SBCV","Airport"
"2429","CXJ","SBCX","Airport"
"2430","CGB","SBCY","Airport"
"2431","CZS","SBCZ","Airport"
"2432","PPB","SBDN","Airport"
"2433","MAO","SBEG","Airport"
"2434","JCR","SBEK","Airport"
"2436","IGU","SBFI","Airport"
"2437","FLN","SBFL","Airport"
"2438","FEN","SBFN","Airport"
"2441","FOR","SBFZ","Airport"
"2442","GIG","SBGL","Airport"
"2443","GJM","SBGM","Airport"
"2444","GYN","SBGO","Airport"
"2446","GRU","SBGR","Airport"
"2447","GUJ","SBGW","Airport"
"2448","ATM","SBHT","Airport"
"2449","ITA","SBIC","Airport"
"2450","ITB","SBIH","Airport"
"2451","IOS","SBIL","Airport"
"2452","IPN","SBIP","Airport"
"2453","ITR","SBIT","Airport"
"2454","IMP","SBIZ","Airport"
"2456","JDF","SBJF","Airport"
"2457","JPA","SBJP","Airport"
"2458","JOI","SBJV","Airport"
"2459","CPV","SBKG","Airport"
"2460","VCP","SBKP","Airport"
"2461","LAJ","SBLJ","Airport"
"2462","LIP","SBLN","Airport"
"2463","LDB","SBLO","Airport"
"2464","LAZ","SBLP","Airport"
"2466","MAB","SBMA","Airport"
"2467","MEU","SBMD","Airport"
"2468","MGF","SBMG","Airport"
"2469","MOC","SBMK","Airport"
"2470","PLL","SBMN","Airport"
"2471","MCZ","SBMO","Airport"
"2472","MCP","SBMQ","Airport"
"2473","MVF","SBMS","Airport"
"2475","MNX","SBMY","Airport"
"2476","NVT","SBNF","Airport"
"2477","GEL","SBNM","Airport"
"2478","NAT","SBSG","Airport"
"2479","OYK","SBOI","Airport"
"2480","POA","SBPA","Airport"
"2481","PHB","SBPB","Airport"
"2482","POO","SBPC","Airport"
"2483","PFB","SBPF","Airport"
"2484","PET","SBPK","Airport"
"2485","PNZ","SBPL","Airport"
"2486","PNB","SBPN","Airport"
"2487","PMG","SBPP","Airport"
"2488","PVH","SBPV","Airport"
"2489","RBR","SBRB","Airport"
"2490","REC","SBRF","Airport"
"2492","SDU","SBRJ","Airport"
"2493","RAO","SBRP","Airport"
"2495","SJK","SBSJ","Airport"
"2496","SLZ","SBSL","Airport"
"2497","CGH","SBSP","Airport"
"2498","SJP","SBSR","Airport"
"2499","SSZ","SBST","Airport"
"2500","SSA","SBSV","Airport"
"2501","TMT","SBTB","Airport"
"2502","THE","SBTE","Airport"
"2503","TFF","SBTF","Airport"
"2504","TRQ","SBTK","Airport"
"2505","TEC","SBTL","Airport"
"2507","TBT","SBTT","Airport"
"2508","TUR","SBTU","Airport"
"2509","SJL","SBUA","Airport"
"2510","PAV","SBUF","Airport"
"2511","URG","SBUG","Airport"
"2512","UDI","SBUL","Airport"
"2514","UBA","SBUR","Airport"
"2515","VAG","SBVG","Airport"
"2516","BVH","SBVH","Airport"
"2517","VIX","SBVT","Airport"
"2519","QPS","SBYS","Airport"
"2520","ARI","SCAR","Airport"
"2521","BBA","SCBA","Airport"
"2523","CCH","SCCC","Airport"
"2524","CJC","SCCF","Airport"
"2525","YAI","SCCH","Airport"
"2526","PUQ","SCCI","Airport"
"2527","GXQ","SCCY","Airport"
"2528","IQQ","SCDA","Airport"
"2529","SCL","SCEL","Airport"
"2530","ANF","SCFA","Airport"
"2531","WPR","SCFM","Airport"
"2532","FFU","SCFT","Airport"
"2533","LSQ","SCGE","Airport"
"2534","WPU","SCGZ","Airport"
"2535","CCP","SCIE","Airport"
"2536","IPC","SCIP","Airport"
"2537","ZOS","SCJO","Airport"
"2538","VLR","SCLL","Airport"
"2539","QRC","SCRG","Airport"
"2541","LSC","SCSE","Airport"
"2543","PZS","SCTC","Airport"
"2544","PMC","SCTE","Airport"
"2545","WCH","SCTN","Airport"
"2546","ZAL","SCVD","Airport"
"2547","ATF","SEAM","Airport"
"2549","OCC","SECO","Airport"
"2550","CUE","SECU","Airport"
"2551","GPS","SEGS","Airport"
"2552","GYE","SEGU","Airport"
"2557","LTX","SELT","Airport"
"2558","MRR","SEMA","Airport"
"2559","XMS","SEMC","Airport"
"2560","MCH","SEMH","Airport"
"2562","MEC","SEMT","Airport"
"2565","PVO","SEPV","Airport"
"2567","UIO","SEQM","Airport"
"2569","ETR","SERO","Airport"
"2570","SNC","SESA","Airport"
"2574","TPC","SETR","Airport"
"2575","TUA","SETU","Airport"
"2576","ASU","SGAS","Airport"
"2577","AYO","SGAY","Airport"
"2578","CIO","SGCO","Airport"
"2580","ESG","SGME","Airport"
"2581","PIL","SGPI","Airport"
"2582","AXM","SKAR","Airport"
"2583","PUU","SKAS","Airport"
"2584","ELB","SKBC","Airport"
"2585","BGA","SKBG","Airport"
"2586","BOG","SKBO","Airport"
"2587","BAQ","SKBQ","Airport"
"2588","BSC","SKBS","Airport"
"2589","BUN","SKBU","Airport"
"2590","CUC","SKCC","Airport"
"2591","CTG","SKCG","Airport"
"2592","CLO","SKCL","Airport"
"2593","TCO","SKCO","Airport"
"2594","CZU","SKCZ","Airport"
"2595","EJA","SKEJ","Airport"
"2596","FLA","SKFL","Airport"
"2597","GIR","SKGI","Airport"
"2598","GPI","SKGP","Airport"
"2600","IBE","SKIB","Airport"
"2601","IPI","SKIP","Airport"
"2602","APO","SKLC","Airport"
"2603","MCJ","SKLM","Airport"
"2604","LET","SKLT","Airport"
"2605","EOH","SKMD","Airport"
"2606","MGN","SKMG","Airport"
"2607","MTR","SKMR","Airport"
"2608","MVP","SKMU","Airport"
"2609","MZL","SKMZ","Airport"
"2610","NVA","SKNV","Airport"
"2611","OCV","SKOC","Airport"
"2612","OTU","SKOT","Airport"
"2614","PCR","SKPC","Airport"
"2615","PEI","SKPE","Airport"
"2616","PTX","SKPI","Airport"
"2617","PPN","SKPP","Airport"
"2618","PSO","SKPS","Airport"
"2619","PVA","SKPV","Airport"
"2620","MQU","SKQU","Airport"
"2621","MDE","SKRG","Airport"
"2622","RCH","SKRH","Airport"
"2623","SJE","SKSJ","Airport"
"2624","SMR","SKSM","Airport"
"2625","ADZ","SKSP","Airport"
"2626","SVI","SKSV","Airport"
"2627","TME","SKTM","Airport"
"2628","AUC","SKUC","Airport"
"2629","UIB","SKUI","Airport"
"2630","ULQ","SKUL","Airport"
"2631","VUP","SKVP","Airport"
"2632","VVC","SKVV","Airport"
"2633","BJO","SLBJ","Airport"
"2634","CBB","SLCB","Airport"
"2635","CCA","SLCH","Airport"
"2636","CIJ","SLCO","Airport"
"2637","LPB","SLLP","Airport"
"2638","ORU","SLOR","Airport"
"2639","POI","SLPO","Airport"
"2641","SBL","SLSA","Airport"
"2642","SRE","SLSU","Airport"
"2643","TJA","SLTJ","Airport"
"2644","TDD","SLTR","Airport"
"2645","VLM","SLVM","Airport"
"2646","VVI","SLVR","Airport"
"2647","BYC","SLYA","Airport"
"2648","PBM","SMJP","Airport"
"2649","CAY","SOCA","Airport"
"2650","OYP","SOOG","Airport"
"2652","AOP","SPAS","Airport"
"2654","IBP","SPBR","Airport"
"2655","PCL","SPCL","Airport"
"2656","CHM","SPEO","Airport"
"2659","CIX","SPHI","Airport"
"2660","AYP","SPHO","Airport"
"2661","ANS","SPHY","Airport"
"2662","ATA","SPHZ","Airport"
"2663","LIM","SPIM","Airport"
"2664","JJI","SPJI","Airport"
"2665","JAU","SPJJ","Airport"
"2666","JUL","SPJL","Airport"
"2667","ILQ","SPLO","Airport"
"2669","TBP","SPME","Airport"
"2670","YMS","SPMS","Airport"
"2672","CHH","SPPY","Airport"
"2673","IQT","SPQT","Airport"
"2674","AQP","SPQU","Airport"
"2676","TRU","SPRU","Airport"
"2677","PIO","SPSO","Airport"
"2678","TPP","SPST","Airport"
"2679","TCQ","SPTN","Airport"
"2680","PEM","SPTU","Airport"
"2681","PIU","SPUR","Airport"
"2682","TYL","SPYL","Airport"
"2683","CUZ","SPZO","Airport"
"2685","DZO","SUDU","Airport"
"2686","MVD","SUMU","Airport"
"2687","STY","SUSO","Airport"
"2688","AGV","SVAC","Airport"
"2689","AAO","SVAN","Airport"
"2691","BLA","SVBC","Airport"
"2692","BNS","SVBI","Airport"
"2694","BRM","SVBM","Airport"
"2696","CXA","SVCD","Airport"
"2698","CLZ","SVCL","Airport"
"2699","CAJ","SVCN","Airport"
"2700","VCR","SVCO","Airport"
"2701","CUP","SVCP","Airport"
"2702","CZE","SVCR","Airport"
"2704","CUM","SVCU","Airport"
"2706","EOR","SVED","Airport"
"2707","EOZ","SVEZ","Airport"
"2708","GDO","SVGD","Airport"
"2709","GUI","SVGI","Airport"
"2710","GUQ","SVGU","Airport"
"2711","HGE","SVHG","Airport"
"2712","ICC","SVIE","Airport"
"2713","LSP","SVJC","Airport"
"2715","LFR","SVLF","Airport"
"2717","MAR","SVMC","Airport"
"2718","MRD","SVMD","Airport"
"2719","PMV","SVMG","Airport"
"2720","CCS","SVMI","Airport"
"2721","MUN","SVMT","Airport"
"2722","PYH","SVPA","Airport"
"2723","PBL","SVPC","Airport"
"2724","SCI","SVPM","Airport"
"2725","PZO","SVPR","Airport"
"2726","PTM","SVPT","Airport"
"2727","SVZ","SVSA","Airport"
"2728","SBB","SVSB","Airport"
"2729","SNV","SVSE","Airport"
"2730","STD","SVSO","Airport"
"2731","SNF","SVSP","Airport"
"2732","SFD","SVSR","Airport"
"2733","SOM","SVST","Airport"
"2734","STB","SVSZ","Airport"
"2735","TUV","SVTC","Airport"
"2736","TMO","SVTM","Airport"
"2737","VLN","SVVA","Airport"
"2738","VLV","SVVL","Airport"
"2739","VDP","SVVP","Airport"
"2741","LTM","SYLT","Airport"
"2742","ANU","TAPA","Airport"
"2743","BGI","TBPB","Airport"
"2744","DCF","TDCF","Airport"
"2745","DOM","TDPD","Airport"
"2746","FDF","TFFF","Airport"
"2747","SFG","TFFG","Airport"
"2749","GND","TGPY","Airport"
"2750","STT","TIST","Airport"
"2751","STX","TISX","Airport"
"2752","BQN","TJBQ","Airport"
"2753","FAJ","TJFA","Airport"
"2754","SIG","TJIG","Airport"
"2755","MAZ","TJMZ","Airport"
"2756","PSE","TJPS","Airport"
"2757","SJU","TJSJ","Airport"
"2758","SKB","TKPK","Airport"
"2759","SLU","TLPC","Airport"
"2760","UVF","TLPL","Airport"
"2761","AUA","TNCA","Airport"
"2762","BON","TNCB","Airport"
"2763","CUR","TNCC","Airport"
"2764","EUX","TNCE","Airport"
"2765","SXM","TNCM","Airport"
"2766","AXA","TQPF","Airport"
"2767","TAB","TTCP","Airport"
"2768","POS","TTPP","Airport"
"2769","EIS","TUPJ","Airport"
"2770","CIW","TVSC","Airport"
"2771","MQS","TVSM","Airport"
"2772","SVD","TVSA","Airport"
"2773","ALA","UAAA","Airport"
"2774","BXH","UAAH","Airport"
"2775","TSE","UACC","Airport"
"2776","DMB","UADD","Airport"
"2777","FRU","UAFM","Airport"
"2778","OSS","UAFO","Airport"
"2779","CIT","UAII","Airport"
"2780","URA","UARR","Airport"
"2781","PWQ","UASP","Airport"
"2782","PLX","UASS","Airport"
"2783","AKX","UATT","Airport"
"2784","GYD","UBBB","Airport"
"2785","YKS","UEEE","Airport"
"2786","MJZ","UERR","Airport"
"2787","BQS","UHBB","Airport"
"2788","KHV","UHHH","Airport"
"2789","PVS","UHMD","Airport"
"2790","GDX","UHMM","Airport"
"2791","PWE","UHMP","Airport"
"2792","PKC","UHPP","Airport"
"2793","UUS","UHSS","Airport"
"2794","VVO","UHWW","Airport"
"2795","HTA","UIAA","Airport"
"2796","BTK","UIBB","Airport"
"2797","IKT","UIII","Airport"
"2798","UUD","UIUU","Airport"
"2799","KBP","UKBB","Airport"
"2800","DOK","UKCC","Airport"
"2801","DNK","UKDD","Airport"
"2802","SIP","UKFF","Airport"
"2803","IEV","UKKK","Airport"
"2804","LWO","UKLL","Airport"
"2805","ODS","UKOO","Airport"
"2806","LED","ULLI","Airport"
"2807","MMK","ULMM","Airport"
"2808","GME","UMGG","Airport"
"2809","VTB","UMII","Airport"
"2810","KGD","UMKK","Airport"
"2811","MHP","UMMM","Airport"
"2812","MSQ","UMMS","Airport"
"2813","ABA","UNAA","Airport"
"2814","BAX","UNBB","Airport"
"2815","KEJ","UNEE","Airport"
"2816","OMS","UNOO","Airport"
"2817","KRR","URKK","Airport"
"2818","MCX","URML","Airport"
"2819","MRV","URMM","Airport"
"2820","STW","URMT","Airport"
"2821","ROV","URRP","Airport"
"2822","AER","URSS","Airport"
"2823","ASF","URWA","Airport"
"2824","VOG","URWW","Airport"
"2825","CEK","USCC","Airport"
"2826","MQF","USCM","Airport"
"2827","NJC","USNN","Airport"
"2828","PEE","USPP","Airport"
"2829","SGC","USRR","Airport"
"2830","SVX","USSS","Airport"
"2831","ASB","UTAA","Airport"
"2832","KRW","UTAK","Airport"
"2833","CRZ","UTAV","Airport"
"2834","DYU","UTDD","Airport"
"2835","BHK","UTSB","Airport"
"2836","SKD","UTSS","Airport"
"2837","TAS","UTTT","Airport"
"2838","BZK","UUBP","Airport"
"2839","SVO","UUEE","Airport"
"2841","VOZ","UUOO","Airport"
"2842","VKO","UUWW","Airport"
"2843","SCW","UUYY","Airport"
"2844","KZN","UWKD","Airport"
"2845","REN","UWOO","Airport"
"2846","UFA","UWUU","Airport"
"2847","KUF","UWWW","Airport"
"2848","AMD","VAAH","Airport"
"2849","AKD","VAAK","Airport"
"2850","IXU","VAAU","Airport"
"2851","BOM","VABB","Airport"
"2852","PAB","VABI","Airport"
"2853","BHJ","VABJ","Airport"
"2854","IXG","VABM","Airport"
"2855","BDQ","VABO","Airport"
"2856","BHO","VABP","Airport"
"2857","BHU","VABV","Airport"
"2858","NMB","VADN","Airport"
"2860","GUX","VAGN","Airport"
"2861","GOI","VAGO","Airport"
"2862","IDR","VAID","Airport"
"2863","JLR","VAJB","Airport"
"2864","JGA","VAJM","Airport"
"2865","IXY","VAKE","Airport"
"2866","HJR","VAKJ","Airport"
"2867","KLH","VAKP","Airport"
"2868","IXK","VAKS","Airport"
"2869","NAG","VANP","Airport"
"2870","ISK","VAOZ","Airport"
"2871","PNQ","VAPO","Airport"
"2872","PBD","VAPR","Airport"
"2873","RAJ","VARK","Airport"
"2874","RPR","VARP","Airport"
"2875","SSE","VASL","Airport"
"2876","STV","VASU","Airport"
"2877","UDR","VAUD","Airport"
"2878","CMB","VCBI","Airport"
"2880","BTC","VCCB","Airport"
"2881","RML","VCCC","Airport"
"2882","ADP","VCCG","Airport"
"2883","JAF","VCCJ","Airport"
"2884","TRR","VCCT","Airport"
"2885","KZC","VDKH","Airport"
"2886","PNH","VDPP","Airport"
"2887","REP","VDSR","Airport"
"2888","TNX","VDST","Airport"
"2889","IXV","VEAN","Airport"
"2890","IXA","VEAT","Airport"
"2891","AJL","VELP","Airport"
"2892","IXB","VEBD","Airport"
"2894","BBI","VEBS","Airport"
"2895","CCU","VECC","Airport"
"2896","COH","VECO","Airport"
"2897","DBD","VEDB","Airport"
"2898","GAY","VEGY","Airport"
"2900","IMF","VEIM","Airport"
"2902","IXW","VEJS","Airport"
"2903","JRH","VEJT","Airport"
"2904","IXH","VEKR","Airport"
"2905","IXS","VEKU","Airport"
"2906","IXI","VELR","Airport"
"2907","DIB","VEMN","Airport"
"2908","MZU","VEMZ","Airport"
"2911","PAT","VEPT","Airport"
"2913","IXR","VERC","Airport"
"2914","RRK","VERK","Airport"
"2916","VTZ","VEVZ","Airport"
"2917","ZER","VEZO","Airport"
"2918","CXB","VGCB","Airport"
"2919","CGP","VGEG","Airport"
"2920","IRD","VGIS","Airport"
"2921","JSR","VGJR","Airport"
"2922","RJH","VGRJ","Airport"
"2923","SPD","VGSD","Airport"
"2924","ZYL","VGSY","Airport"
"2926","DAC","VGZR","Airport"
"2927","HKG","VHHH","Airport"
"2929","AGR","VIAG","Airport"
"2930","IXD","VIAL","Airport"
"2931","ATQ","VIAR","Airport"
"2932","BKB","VIBK","Airport"
"2934","VNS","VIBN","Airport"
"2935","KUU","VIBR","Airport"
"2936","BUP","VIBT","Train"
"2938","BEK","VIBY","Train"
"2939","IXC","VICG","Airport"
"2940","KNU","VICX","Airport"
"2942","DED","VIDN","Airport"
"2943","DEL","VIDP","Airport"
"2944","GWL","VIGR","Airport"
"2945","HSS","VIHR","Airport"
"2947","JDH","VIJO","Airport"
"2948","JAI","VIJP","Airport"
"2949","JSA","VIJR","Airport"
"2950","IXJ","VIJU","Airport"
"2952","KTU","VIKO","Airport"
"2953","LUH","VILD","Airport"
"2954","IXL","VILH","Airport"
"2955","LKO","VILK","Airport"
"2956","IXP","VIPK","Airport"
"2958","PGH","VIPT","Airport"
"2961","SXR","VISR","Airport"
"2962","TNI","VIST","Airport"
"2963","LPQ","VLLB","Airport"
"2964","PKZ","VLPS","Airport"
"2966","ZVK","VLSK","Airport"
"2967","NEU","VLSN","Airport"
"2968","VTE","VLVT","Airport"
"2969","MFM","VMMC","Airport"
"2970","BWA","VNBW","Airport"
"2971","JKR","VNJP","Airport"
"2972","KTM","VNKT","Airport"
"2973","PKR","VNPK","Airport"
"2974","SIF","VNSI","Airport"
"2975","BIR","VNVT","Airport"
"2976","AGX","VOAT","Airport"
"2977","BLR","VOBL","Airport"
"2978","BEP","VOBI","Airport"
"2980","VGA","VOBZ","Airport"
"2981","CJB","VOCB","Airport"
"2982","COK","VOCI","Airport"
"2983","CCJ","VOCL","Airport"
"2984","CDP","VOCP","Airport"
"2985","CBD","VOCX","Train"
"2987","BPM","VOHY","Airport"
"2988","IXM","VOMD","Airport"
"2989","IXE","VOML","Airport"
"2990","MAA","VOMM","Airport"
"2992","IXZ","VOPB","Airport"
"2993","PNY","VOPC","Airport"
"2994","RJA","VORY","Airport"
"2995","SXV","VOSM","Airport"
"2997","TIR","VOTP","Airport"
"2998","TRZ","VOTR","Airport"
"2999","TRV","VOTV","Airport"
"3001","PBH","VQPR","Airport"
"3002","MLE","VRMM","Airport"
"3003","DMK","VTBD","Airport"
"3004","KDT","VTBK","Airport"
"3006","UTP","VTBU","Airport"
"3008","LPT","VTCL","Airport"
"3009","PRH","VTCP","Airport"
"3010","HHQ","VTPH","Airport"
"3011","TKH","VTPI","Airport"
"3014","PHS","VTPP","Airport"
"3017","NAW","VTSC","Airport"
"3018","KBV","VTSG","Airport"
"3019","SGZ","VTSH","Airport"
"3020","PAN","VTSK","Airport"
"3021","USM","VTSM","Airport"
"3023","HKT","VTSP","Airport"
"3024","UNN","VTSR","Airport"
"3025","HDY","VTSS","Airport"
"3026","TST","VTST","Airport"
"3027","UTH","VTUD","Airport"
"3028","SNO","VTUI","Airport"
"3029","PXR","VTUJ","Airport"
"3030","LOE","VTUL","Airport"
"3033","DAD","VVDN","Airport"
"3036","HAN","VVNB","Airport"
"3038","HUI","VVPB","Airport"
"3039","PQC","VVPQ","Airport"
"3040","SGN","VVTS","Airport"
"3041","VBA","VYAN","Airport"
"3043","NYU","VYBG","Airport"
"3045","HEH","VYHH","Airport"
"3046","HOX","VYHL","Airport"
"3047","KET","VYKG","Airport"
"3048","KYP","VYKP","Airport"
"3049","LSH","VYLS","Airport"
"3051","MDL","VYMD","Airport"
"3052","MGZ","VYME","Airport"
"3053","MYT","VYMK","Airport"
"3054","MOE","VYMO","Airport"
"3055","MOG","VYMS","Airport"
"3057","NMS","VYNS","Airport"
"3058","PAA","VYPA","Airport"
"3059","PBU","VYPT","Airport"
"3060","PRU","VYPY","Airport"
"3062","AKY","VYSW","Airport"
"3063","SNW","VYTD","Airport"
"3064","THL","VYTL","Airport"
"3066","RGN","VYYY","Airport"
"3067","UPG","WAAA","Airport"
"3068","BIK","WABB","Airport"
"3069","NBX","WABI","Airport"
"3070","TIM","WABP","Airport"
"3071","DJJ","WAJJ","Airport"
"3072","WMX","WAJW","Airport"
"3073","MKQ","WAKK","Airport"
"3074","GTO","WAMG","Airport"
"3075","PLW","WAML","Airport"
"3076","MDC","WAMM","Airport"
"3077","PSJ","WAMP","Airport"
"3078","OTI","WAMR","Airport"
"3079","TTE","WAMT","Airport"
"3080","LUW","WAMW","Airport"
"3081","AMQ","WAPP","Airport"
"3082","FKQ","WASF","Airport"
"3083","KNG","WASK","Airport"
"3084","BXB","WASO","Airport"
"3085","MKW","WASR","Airport"
"3086","SOQ","WAXX","Airport"
"3087","BTU","WBGB","Airport"
